Gender,Age,Married,BankCustomer,Ethnicity,YearsEmployed,PriorDefault,Employed,DriversLicense,Approved
1,30.83,1,1,0,1.25,1,1,0,1
0,58.67,1,1,1,3.04,1,1,0,1
0,24.5,1,1,1,1.5,1,0,0,1
1,27.83,1,1,0,3.75,1,1,1,1
1,20.17,1,1,0,1.71,1,0,0,1
1,32.08,1,1,0,2.5,1,0,1,1
1,33.17,1,1,1,6.5,1,0,1,1
0,22.92,1,1,0,0.04,1,0,0,1
1,54.42,0,0,1,3.96,1,0,0,1
1,42.5,0,0,0,3.165,1,0,1,1
1,22.08,1,1,1,2.165,0,0,1,1
1,29.92,1,1,1,4.335,1,0,0,1
0,38.25,1,1,0,1.0,1,0,1,1
1,48.08,1,1,0,0.04,0,0,0,1
0,45.83,1,1,0,5.0,1,1,1,1
1,36.67,0,0,0,0.25,1,1,1,1
1,28.25,1,1,0,0.96,1,1,1,1
0,23.25,1,1,0,3.17,1,1,0,1
1,21.83,1,1,1,0.665,1,0,1,1
0,19.17,1,1,1,0.75,1,1,0,1
1,25.0,1,1,0,2.5,1,1,0,1
1,23.25,1,1,0,0.835,1,0,0,1
0,47.75,1,1,0,7.875,1,1,1,1
0,27.42,1,1,1,3.085,1,1,0,1
0,41.17,1,1,0,0.5,1,1,1,1
0,15.83,1,1,1,1.5,1,1,0,1
0,47.0,1,1,2,5.165,1,1,1,1
1,56.58,1,1,2,15.0,1,1,1,1
1,57.42,1,1,1,7.0,1,1,0,1
1,42.08,1,1,0,5.0,1,1,1,1
1,29.25,1,1,0,5.04,1,1,1,1
1,42.0,1,1,1,7.96,1,1,0,1
1,49.5,1,1,2,7.585,1,1,1,1
0,36.75,1,1,0,5.0,1,0,1,1
0,22.58,1,1,0,0.415,1,1,1,1
1,27.83,1,1,0,2.0,1,1,1,1
1,27.25,1,1,1,1.835,1,1,1,1
0,23.0,1,1,1,0.5,1,1,1,1
1,27.75,0,0,0,0.25,1,1,0,1
1,54.58,1,1,3,14.415,1,1,1,1
1,34.17,1,1,0,4.5,1,1,1,1
1,28.92,1,1,1,5.335,1,1,0,1
1,29.67,1,1,1,0.75,1,1,0,1
1,39.58,1,1,0,8.625,1,1,1,1
1,56.42,0,0,0,28.5,1,1,0,1
1,54.33,1,1,1,2.625,1,1,1,1
0,41.0,0,0,1,0.125,1,1,1,1
1,31.92,1,1,1,6.04,1,1,0,1
1,41.5,1,1,2,3.5,0,0,0,1
1,23.92,1,1,0,0.165,0,0,0,1
0,25.75,1,1,1,0.875,1,0,1,1
1,26.0,1,1,0,1.75,1,0,1,1
1,37.42,1,1,0,0.04,1,0,1,1
1,34.92,1,1,0,0.0,1,0,1,1
1,34.25,1,1,1,7.415,1,0,1,1
1,23.33,0,0,0,0.835,1,0,1,1
1,23.17,1,1,0,0.085,1,0,0,1
1,44.33,1,1,1,5.0,1,0,1,1
1,35.17,1,1,1,5.75,0,0,1,1
1,43.25,1,1,1,6.0,1,1,0,1
1,56.75,1,1,0,1.25,1,1,1,1
1,31.67,1,1,0,3.0,1,1,0,1
0,23.42,0,0,0,1.5,1,1,1,1
0,20.42,1,1,0,1.585,1,1,0,1
1,26.67,1,1,0,4.29,1,1,1,1
1,34.17,1,1,0,1.54,1,1,1,1
0,36.0,1,1,0,2.0,1,1,0,1
1,25.5,1,1,0,0.25,1,1,0,1
1,19.42,1,1,1,1.46,1,1,0,1
1,35.17,1,1,1,1.625,1,1,1,1
1,32.33,1,1,2,1.585,1,0,1,0
1,34.83,1,1,2,12.5,1,0,1,0
0,38.58,1,1,0,13.5,1,0,1,0
1,44.25,1,1,0,10.75,1,0,0,0
1,44.83,0,0,0,1.625,0,0,0,0
1,20.67,1,1,0,0.375,1,1,0,0
1,34.08,1,1,0,0.125,1,0,1,0
0,19.17,0,0,0,0.585,1,0,1,0
1,21.67,0,0,0,2.5,1,1,0,0
1,21.5,1,1,0,0.25,1,0,0,0
1,49.58,1,1,3,0.0,1,1,0,0
0,27.67,1,1,0,2.0,1,0,0,0
1,39.83,1,1,0,0.25,1,0,0,0
0,28.46,1,1,0,3.0,1,0,1,0
1,27.25,1,1,0,0.455,1,0,1,0
1,37.17,1,1,2,5.0,1,0,1,0
1,28.46,1,1,0,0.875,1,0,1,0
1,25.67,0,0,0,4.0,1,0,0,0
1,34.0,1,1,0,1.0,1,0,1,0
0,49.0,1,1,4,0.0,1,0,1,0
1,62.5,0,0,1,5.0,1,0,0,0
1,31.42,1,1,0,0.5,1,0,0,0
1,28.46,0,0,0,8.5,1,0,0,0
1,52.33,0,0,1,9.46,1,0,1,0
1,28.75,0,0,0,1.5,1,0,1,0
0,28.58,1,1,2,0.5,1,0,1,0
1,23.0,0,0,0,0.125,1,0,0,0
1,28.46,1,1,2,0.835,1,0,1,0
0,22.5,0,0,0,3.0,1,0,1,0
0,28.5,1,1,0,1.0,1,1,1,0
1,37.5,0,0,2,0.25,1,0,1,0
1,35.25,0,0,0,4.0,1,0,0,0
1,18.67,1,1,0,0.375,1,1,0,0
1,25.0,1,1,0,2.25,1,1,1,0
1,27.83,0,0,1,5.75,1,1,1,0
1,54.83,1,1,4,0.0,1,1,0,0
1,28.75,1,1,0,0.5,1,0,0,0
0,25.0,0,0,0,4.5,1,0,0,0
1,40.92,0,0,1,10.0,1,0,1,0
0,19.75,1,1,0,0.795,1,1,1,0
1,29.17,1,1,0,3.5,1,1,1,0
0,24.5,0,0,3,0.5,1,1,0,0
1,24.58,1,1,0,0.875,1,0,1,0
0,33.75,1,1,2,1.0,1,1,1,0
1,20.67,0,0,1,1.375,1,1,1,0
0,25.42,1,1,0,1.29,1,1,0,0
1,37.75,1,1,1,11.5,1,1,1,0
1,52.5,1,1,0,6.29,1,1,0,1
1,57.83,1,1,0,14.0,1,1,1,1
0,20.75,1,1,1,0.335,1,1,1,1
1,39.92,1,1,0,0.04,1,1,0,1
1,25.67,1,1,0,1.21,1,1,1,1
0,24.75,1,1,0,1.5,1,1,1,1
0,44.17,1,1,0,7.375,1,1,1,1
0,23.5,1,1,0,8.5,1,1,1,1
1,34.92,1,1,1,7.5,1,1,1,1
1,47.67,1,1,2,2.5,1,1,1,1
1,22.75,1,1,0,2.5,1,1,1,1
1,34.42,1,1,2,3.25,1,1,0,1
0,28.42,1,1,0,0.835,1,0,0,1
1,67.75,1,1,4,13.0,1,1,1,1
1,20.42,1,1,0,2.25,1,1,0,1
0,47.42,1,1,2,6.5,1,1,0,1
1,36.25,1,1,2,2.5,1,1,0,1
1,32.67,1,1,1,5.5,1,1,1,1
1,48.58,1,1,1,6.0,1,0,1,1
1,39.92,0,0,0,0.5,1,1,0,1
1,33.58,1,1,0,4.25,1,1,0,1
0,18.83,1,1,0,1.625,1,1,1,1
0,26.92,1,1,1,5.0,1,1,0,1
0,31.25,1,1,1,0.625,1,1,1,1
0,56.5,1,1,3,0.0,1,1,0,1
1,43.0,0,0,1,1.75,1,1,0,1
1,22.33,1,1,0,2.0,1,1,0,1
1,27.25,1,1,1,5.085,1,1,0,1
1,32.83,1,1,1,2.75,1,1,0,1
1,23.25,1,1,0,2.375,1,1,1,1
0,40.33,0,0,1,8.0,1,1,0,1
0,30.5,1,1,2,4.0,1,1,1,1
0,52.83,1,1,0,5.5,1,1,0,1
0,46.67,1,1,1,0.415,1,1,1,1
0,58.33,1,1,0,4.0,1,1,0,1
1,37.33,1,1,1,4.25,1,1,1,1
1,23.08,1,1,0,1.085,1,1,1,1
1,32.75,1,1,1,5.5,1,1,1,1
0,21.67,0,0,4,0.0,1,1,1,1
0,28.5,0,0,1,2.54,1,1,0,1
0,68.67,1,1,4,0.0,1,1,0,1
1,28.0,1,1,1,4.165,1,1,1,1
1,34.08,0,0,2,0.04,1,1,1,1
1,27.67,1,1,1,1.0,1,1,0,1
1,44.0,1,1,0,1.75,1,1,1,1
1,25.08,1,1,0,1.665,1,1,1,1
1,32.0,0,0,1,0.04,1,0,1,1
0,60.58,1,1,0,11.0,1,0,1,1
0,40.83,1,1,1,1.75,1,0,0,1
1,19.33,1,1,0,1.0,1,0,1,1
0,32.33,1,1,0,0.04,1,0,0,1
1,36.67,1,1,1,9.0,1,0,1,1
1,37.5,0,0,0,1.5,0,0,1,1
0,25.08,0,0,0,0.25,1,0,1,1
1,41.33,1,1,2,15.0,1,0,0,1
1,56.0,1,1,1,8.0,1,0,1,1
0,49.83,1,1,1,8.5,1,0,1,1
1,22.67,1,1,1,1.335,1,0,0,1
1,27.0,0,0,0,0.375,1,0,1,1
1,25.0,1,1,0,3.0,1,0,1,1
0,26.08,1,1,0,1.415,1,0,0,1
0,18.42,1,1,0,1.21,1,1,0,1
1,20.17,1,1,0,1.96,1,1,0,1
1,47.67,1,1,2,15.0,1,1,0,1
0,21.25,1,1,2,0.5,1,1,0,1
0,20.67,1,1,0,0.165,1,1,0,1
0,57.08,1,1,0,5.5,1,1,0,1
0,22.42,1,1,0,2.585,1,1,0,1
1,48.75,1,1,1,12.5,1,1,0,1
1,40.0,1,1,2,3.5,1,1,0,1
1,40.58,1,1,0,5.0,1,1,0,1
0,28.67,1,1,0,2.5,1,1,1,1
0,33.08,1,1,1,1.625,1,1,0,1
1,21.33,1,1,0,3.0,1,0,1,1
1,42.0,1,1,1,5.125,1,0,0,1
1,41.75,1,1,0,2.5,1,0,0,1
1,22.67,0,0,0,3.085,1,1,0,1
1,34.5,0,0,2,8.5,1,1,1,1
1,28.25,0,0,2,1.5,1,1,1,1
1,33.17,0,0,0,3.165,1,1,1,1
1,48.17,1,1,1,15.5,1,1,0,1
1,27.58,0,0,0,2.0,1,1,1,1
1,22.58,1,1,0,0.04,1,1,0,1
0,24.08,1,1,1,1.25,1,1,0,1
0,41.33,1,1,2,2.25,1,0,1,1
1,24.83,1,1,0,2.25,1,1,0,1
0,20.75,1,1,0,0.71,1,1,1,1
1,36.33,0,0,0,0.085,1,1,0,1
0,35.42,1,1,1,14.0,1,1,0,1
0,71.58,1,1,0,0.0,0,0,0,1
1,28.67,1,1,1,5.665,1,1,0,1
1,35.17,1,1,0,4.5,1,1,0,1
1,39.5,1,1,2,6.5,1,1,0,1
1,39.33,1,1,1,10.0,1,1,1,1
1,24.33,0,0,0,5.5,1,0,1,1
1,60.08,1,1,3,18.0,1,1,1,1
1,23.08,1,1,0,3.5,1,1,0,1
1,26.67,0,0,0,5.25,1,1,0,1
1,48.17,1,1,0,3.5,1,0,0,1
1,41.17,1,1,1,7.0,1,1,0,1
1,55.92,1,1,3,5.0,1,1,0,1
1,53.92,1,1,0,8.665,1,1,0,1
0,18.92,0,0,0,1.0,1,1,1,1
0,50.08,1,1,0,2.29,1,1,1,1
1,65.42,1,1,4,20.0,1,1,1,1
0,17.58,1,1,0,1.375,1,0,1,1
0,18.83,1,1,0,0.085,1,0,0,1
0,37.75,1,1,0,0.125,1,0,1,1
1,23.25,1,1,2,0.25,1,0,1,1
1,18.08,1,1,0,0.5,1,0,0,1
0,22.5,0,0,0,2.46,0,0,0,1
1,19.67,1,1,0,2.0,1,1,1,1
1,22.08,1,1,0,0.665,1,0,0,1
1,25.17,1,1,0,0.625,1,1,0,1
0,47.42,1,1,0,13.875,1,1,1,1
